Timestamp,MagX,MagY,MagZ,dMagX,dMagY,PWM_X,PWM_Y,CurrXPos,CurrXNeg,CurrYPos,CurrYNeg
15313854,-0.0248,-0.4392,-19.1146,4.3186,-10.2711,-0.85,71.75,-0.3237,0.3602,-0.4806,0.6441
15333024,-0.0685,-0.3001,-18.8556,-16.8827,40.5350,26.48,1.48,-0.2269,0.2656,-0.3323,0.4634
15352194,-0.0357,-0.3263,-18.8497,-14.2926,4.3315,19.29,41.35,0.0054,0.0355,-0.2806,0.4204
15371363,-0.0612,-0.3215,-18.8649,20.2959,1.2922,-11.73,43.72,-0.0935,0.1194,-0.2720,0.4118
15390533,-0.0661,-0.3315,-19.1968,6.9654,-4.6968,2.29,51.11,0.0978,-0.0720,-0.2613,0.3796
15409702,0.0163,-0.4110,-19.3389,8.2676,-0.1182,-10.55,57.66,0.0355,-0.0140,-0.3989,0.5667
15428872,-0.0491,-0.3432,-19.0851,1.3840,-1.2302,5.49,49.28,0.1602,-0.1473,-0.3817,0.5323
15448041,-0.0555,-0.3510,-18.9661,18.7704,-25.6374,-11.00,74.78,-0.2226,0.2269,-0.1860,0.3366
15467210,-0.0836,-0.2444,-18.6479,17.2688,28.9804,-5.57,5.24,-0.2591,0.2656,-0.2398,0.4075
15486380,-0.0552,-0.3115,-19.0873,-15.1802,-9.5988,22.91,53.21,0.1946,-0.1839,-0.2591,0.4054
15505550,-0.0252,-0.3304,-19.3434,19.9857,-1.3915,-16.46,47.65,-0.0505,0.0484,-0.3065,0.4140
15524720,-0.1657,-0.3679,-19.1792,12.8474,7.3820,10.34,44.12,-0.1839,0.1774,-0.4011,0.5624
15543889,0.0071,-0.2695,-19.0541,-4.0900,8.6685,3.10,29.07,0.0462,-0.0355,-0.2699,0.3624
